Date,Short Name,Bid,Offer,Last,Close,High,Low,Open,Chg. Today,Vol. Today,Num. Trades
18/11/2019,BSP,11.69,0,11.69,11.69,11.7,11.69,11.69,0.02,1016,5
19/11/2019,BSP,11.69,0,11.69,11.69,11.69,11.69,11.69,0,407,1
20/11/2019,BSP,11.69,0,0,11.69,0,0,11.69,0,0,0
21/11/2019,BSP,11.7,0,0,11.69,0,0,11.69,0,0,0
22/11/2019,BSP,11.7,0,0,11.69,0,0,11.69,0,0,0
25/11/2019,BSP,11.7,0,0,11.69,0,0,11.69,0,0,0
26/11/2019,BSP,11.7,0,0,11.69,0,0,11.69,0,0,0
27/11/2019,BSP,11.7,0,11.7,11.7,11.71,11.7,11.69,0.01,1359,3
28/11/2019,BSP,11.7,0,0,11.7,0,0,11.7,0,0,0
29/11/2019,BSP,11.7,0,0,11.7,0,0,11.7,0,0,0
02/12/2019,BSP,11.71,0,11.71,11.71,11.71,11.71,11.7,0.01,2772,8
03/12/2019,BSP,11.71,0,0,11.71,0,0,11.71,0,0,0
04/12/2019,BSP,11.71,0,0,11.71,0,0,11.71,0,0,0
05/12/2019,BSP,11.75,0,0,11.71,0,0,11.71,0,0,0
06/12/2019,BSP,11.75,0,0,11.71,0,0,11.71,0,0,0
09/12/2019,BSP,11.75,0,11.75,11.75,11.75,11.75,11.71,0.04,1000,1
10/12/2019,BSP,11.75,0,0,11.75,0,0,11.75,0,0,0
11/12/2019,BSP,11.75,0,0,11.75,0,0,11.75,0,0,0
12/12/2019,BSP,11.75,0,0,11.75,0,0,11.75,0,0,0
13/12/2019,BSP,11.75,0,11.75,11.75,11.76,11.75,11.75,0,513,5
16/12/2019,BSP,11.75,0,11.76,11.76,11.76,11.76,11.75,0.01,45274,1
17/12/2019,BSP,11.75,0,0,11.76,0,0,11.76,0,0,0
18/12/2019,BSP,11.75,0,11.76,11.76,11.76,11.76,11.76,0,1000,1
19/12/2019,BSP,11.75,0,0,11.76,0,0,11.76,0,0,0
20/12/2019,BSP,11.77,0,11.78,11.78,11.78,11.77,11.76,0.02,3471,10
23/12/2019,BSP,11.77,0,0,11.78,0,0,11.78,0,0,0
24/12/2019,BSP,11.77,0,11.78,11.78,11.78,11.78,11.78,0,1040,2
27/12/2019,BSP,11.77,0,11.78,11.78,0,0,11.78,0,0,0
30/12/2019,BSP,11.77,0,11.78,11.78,0,0,11.78,0,0,0
31/12/2019,BSP,11.77,0,11.78,11.78,0,0,11.78,0,0,0
02/01/2020,BSP,11.77,0,11.78,11.78,0,0,11.78,0,0,0
03/01/2020,BSP,11.77,0,11.78,11.78,0,0,11.78,0,0,0
06/01/2020,BSP,11.77,0,11.78,11.78,0,0,11.78,0,0,0
07/01/2020,BSP,11.77,0,11.78,11.78,0,0,11.78,0,0,0
08/01/2020,BSP,11.73,0,11.75,11.75,11.77,11.75,11.78,-0.03,46137,24
09/01/2020,BSP,11.73,0,0,11.75,0,0,11.75,0,0,0
10/01/2020,BSP,11.77,0,11.78,11.78,11.78,11.78,11.75,0.03,5667,8
13/01/2020,BSP,11.77,0,0,11.78,0,0,11.78,0,0,0
14/01/2020,BSP,11.77,0,0,11.78,0,0,11.78,0,0,0
15/01/2020,BSP,11.77,0,11.78,11.78,11.78,11.78,11.78,0,50821,4
16/01/2020,BSP,11.78,0,11.79,11.79,11.79,11.78,11.78,0.01,1654,5
17/01/2020,BSP,11.78,0,0,11.79,0,0,11.79,0,0,0
20/01/2020,BSP,11.78,0,0,11.79,0,0,11.79,0,0,0
21/01/2020,BSP,11.78,0,11.79,11.79,11.79,11.79,11.79,0,2000,4
22/01/2020,BSP,11.78,0,0,11.79,0,0,11.79,0,0,0
23/01/2020,BSP,11.78,0,11.78,11.78,11.78,11.78,11.79,-0.01,2000,3
24/01/2020,BSP,11.78,0,0,11.78,0,0,11.78,0,0,0
27/01/2020,BSP,11.78,0,0,11.78,0,0,11.78,0,0,0
28/01/2020,BSP,11.78,0,0,11.78,0,0,11.78,0,0,0
29/01/2020,BSP,11.78,0,11.79,11.79,11.79,11.79,11.78,0.01,3721,1
30/01/2020,BSP,11.78,0,11.78,11.78,11.78,11.78,11.79,-0.01,357,1
31/01/2020,BSP,11.78,0,11.79,11.79,11.79,11.79,11.78,0.01,535,2
03/02/2020,BSP,11.8,0,11.8,11.8,11.8,11.8,11.79,0.01,5923,8
04/02/2020,BSP,11.78,0,11.8,11.8,11.8,11.8,11.8,0,12000,23
05/02/2020,BSP,11.78,0,11.8,11.8,0,0,11.8,0,0,0
06/02/2020,BSP,11.78,0,11.79,11.79,11.79,11.79,11.8,-0.01,237,8
07/02/2020,BSP,11.78,0,11.79,11.79,0,0,11.79,0,0,0
10/02/2020,BSP,11.78,0,11.79,11.79,0,0,11.79,0,0,0
11/02/2020,BSP,11.78,0,11.79,11.79,0,0,11.79,0,0,0
12/02/2020,BSP,11.78,0,11.79,11.79,0,0,11.79,0,0,0
13/02/2020,BSP,11.78,0,11.79,11.79,0,0,11.79,0,0,1
14/02/2020,BSP,11.78,0,11.79,11.79,0,0,11.79,0,0,0
17/02/2020,BSP,11.8,0,11.78,11.78,11.78,11.78,11.79,-0.01,919,4
18/02/2020,BSP,11.81,0,11.81,11.81,11.81,11.81,11.78,0.03,879932,5
19/02/2020,BSP,11.81,0,0,11.81,0,0,11.81,0,0,0
20/02/2020,BSP,11.81,0,0,11.81,0,0,11.81,0,0,0
21/02/2020,BSP,11.79,12.5,11.79,11.79,11.81,11.79,11.81,-0.02,10900,5
24/02/2020,BSP,11.79,12.5,0,11.79,0,0,11.79,0,0,0
25/02/2020,BSP,11.79,0,12.5,12.5,12.5,12.5,11.79,0.71,7000,3
26/02/2020,BSP,11.79,0,0,12.5,0,0,12.5,0,0,0
27/02/2020,BSP,11.79,0,0,12.5,0,0,12.5,0,0,0
28/02/2020,BSP,11.79,0,12,12,12,12,12.5,-0.5,50000,4
02/03/2020,BSP,11.79,0,0,12,0,0,12,0,0,0
03/03/2020,BSP,11.8,12.5,0,12,0,0,12,0,0,2
04/03/2020,BSP,12.1,12.5,12.1,12.1,12.5,11.91,12,0.1,3351,9
05/03/2020,BSP,11.8,0,12.1,12.1,12.1,12.1,12.1,0,1940,4
06/03/2020,BSP,11.8,0,0,12.1,0,0,12.1,0,0,0
09/03/2020,BSP,11.8,0,0,12.1,0,0,12.1,0,0,0
10/03/2020,BSP,11.8,0,12,12,12,12,12.1,-0.1,897,2
11/03/2020,BSP,12,0,0,12,0,0,12,0,0,0
12/03/2020,BSP,12,0,0,12,0,0,12,0,0,0
13/03/2020,BSP,12,0,12,12,12,12,12,0,16416,6
16/03/2020,BSP,12,0,0,12,0,0,12,0,0,0
17/03/2020,BSP,12,0,12.1,12.1,12.1,12.1,12,0.1,526,3
18/03/2020,BSP,12,0,12,12,12,12,12.1,-0.1,2035,2
19/03/2020,BSP,11.78,12,12,12,12,12,12,0,1057337,8
20/03/2020,BSP,12,0,12,12,12,12,12,0,7866,3
23/03/2020,BSP,12,12.37,12.01,12.01,12.01,12.01,12,0.01,26085,1
24/03/2020,BSP,12,12.5,0,12.01,0,0,12.01,0,0,0
25/03/2020,BSP,12,12.5,0,12.01,0,0,12.01,0,0,0
26/03/2020,BSP,12,12.5,12,12,12,12,12.01,-0.01,1124,3
27/03/2020,BSP,12,12.5,0,12,0,0,12,0,0,0
30/03/2020,BSP,12,12.5,12,12,12,12,12,0,19352,4
31/03/2020,BSP,12,12.5,0,12,0,0,12,0,0,1
01/04/2020,BSP,11.78,12,12,12,12,12,12,0,4578,6
02/04/2020,BSP,11.78,12,12,12,0,0,12,0,0,0
03/04/2020,BSP,11.78,12,12,12,0,0,12,0,0,0
06/04/2020,BSP,11.78,12,12,12,0,0,12,0,0,0
07/04/2020,BSP,11.78,12,12,12,0,0,12,0,0,0
08/04/2020,BSP,11.78,12,12,12,0,0,12,0,0,0
09/04/2020,BSP,0,0,12,12,12,12,12,0,2255,4
14/04/2020,BSP,0,0,0,12,0,0,12,0,0,0
15/04/2020,BSP,11.5,12,12,12,12,12,12,0,6000,4
16/04/2020,BSP,11.5,12,0,12,0,0,12,0,0,0
17/04/2020,BSP,11.5,0,12,12,12,12,12,0,32676,4
20/04/2020,BSP,11.5,0,12,12,0,0,12,0,0,0
21/04/2020,BSP,11.5,0,12,12,0,0,12,0,0,0
22/04/2020,BSP,11.1,0,12,12,0,0,12,0,0,0
23/04/2020,BSP,11.1,0,12,12,0,0,12,0,0,0
24/04/2020,BSP,11.1,0,12,12,0,0,12,0,0,0
27/04/2020,BSP,11.1,0,12,12,0,0,12,0,0,0
28/04/2020,BSP,11.1,0,12,12,0,0,12,0,0,0
29/04/2020,BSP,11.1,0,12,12,0,0,12,0,0,0
30/04/2020,BSP,11.1,0,12,12,12,12,12,0,11809,4
01/05/2020,BSP,11.1,0,0,12,0,0,12,0,0,0
04/05/2020,BSP,0,0,12,12,12,12,12,0,65000,1
05/05/2020,BSP,0,0,0,12,0,0,12,0,0,0
06/05/2020,BSP,0,12.5,12.5,12.5,12.5,12.5,12,0.5,20963,1
07/05/2020,BSP,0,12.5,12.5,12.5,0,0,12.5,0,0,0
08/05/2020,BSP,0,12.5,12,12,12,12,12.5,-0.5,1511,3
11/05/2020,BSP,0,12.5,12,12,0,0,12,0,0,0
12/05/2020,BSP,0,12.5,12,12,0,0,12,0,0,0
13/05/2020,BSP,0,12.5,12,12,0,0,12,0,0,0
14/05/2020,BSP,0,12,12,12,12,12,12,0,3411,2
15/05/2020,BSP,0,12.5,12,12,12,12,12,0,1105,4
18/05/2020,BSP,0,12.5,12,12,12,12,12,0,8000,1
19/05/2020,BSP,0,12.5,12,12,12,12,12,0,31304,4
20/05/2020,BSP,0,12.5,12,12,0,0,12,0,0,0
21/05/2020,BSP,0,12.5,12,12,12,12,12,0,1520,4
22/05/2020,BSP,0,0,12,12,0,0,12,0,0,0
25/05/2020,BSP,0,0,12,12,0,0,12,0,0,0
26/05/2020,BSP,12,0,12,12,0,0,12,0,0,0
27/05/2020,BSP,12,0,12,12,0,0,12,0,0,0
28/05/2020,BSP,12.01,0,12.01,12.01,12.01,12,12,0.01,4535,10
29/05/2020,BSP,12.01,0,12.01,12.01,12.01,12.01,12.1,0,665,3
01/06/2020,BSP,12.01,0,12.01,12.01,0,0,12.1,0,0,0
02/06/2020,BSP,12.01,0,12.01,12.01,0,0,12.1,0,0,0
03/06/2020,BSP,12.01,0,12.01,12.01,0,0,12.1,0,0,0
