Date,Short Name,Bid,Offer,Last,Close,High,Low,Open,Chg. Today,Vol. Today,Num. Trades
2019-11-18,BSP,11.69,0,11.69,11.69,11.7,11.69,11.69,0.02,1016,5
2019-11-19,BSP,11.69,0,11.69,11.69,11.69,11.69,11.69,0,407,1
2019-11-20,BSP,11.69,0,0,11.69,0,0,11.69,0,0,0
2019-11-21,BSP,11.7,0,0,11.69,0,0,11.69,0,0,0
2019-11-22,BSP,11.7,0,0,11.69,0,0,11.69,0,0,0
2019-11-25,BSP,11.7,0,0,11.69,0,0,11.69,0,0,0
2019-11-26,BSP,11.7,0,0,11.69,0,0,11.69,0,0,0
2019-11-27,BSP,11.7,0,11.7,11.7,11.71,11.7,11.69,0.01,1359,3
2019-11-28,BSP,11.7,0,0,11.7,0,0,11.7,0,0,0
2019-11-29,BSP,11.7,0,0,11.7,0,0,11.7,0,0,0
2019-12-02,BSP,11.71,0,11.71,11.71,11.71,11.71,11.7,0.01,2772,8
2019-12-03,BSP,11.71,0,0,11.71,0,0,11.71,0,0,0
2019-12-04,BSP,11.71,0,0,11.71,0,0,11.71,0,0,0
2019-12-05,BSP,11.75,0,0,11.71,0,0,11.71,0,0,0
2019-12-06,BSP,11.75,0,0,11.71,0,0,11.71,0,0,0
2019-12-09,BSP,11.75,0,11.75,11.75,11.75,11.75,11.71,0.04,1000,1
2019-12-10,BSP,11.75,0,0,11.75,0,0,11.75,0,0,0
2019-12-11,BSP,11.75,0,0,11.75,0,0,11.75,0,0,0
2019-12-12,BSP,11.75,0,0,11.75,0,0,11.75,0,0,0
2019-12-13,BSP,11.75,0,11.75,11.75,11.76,11.75,11.75,0,513,5
2019-12-16,BSP,11.75,0,11.76,11.76,11.76,11.76,11.75,0.01,45274,1
2019-12-17,BSP,11.75,0,0,11.76,0,0,11.76,0,0,0
2019-12-18,BSP,11.75,0,11.76,11.76,11.76,11.76,11.76,0,1000,1
2019-12-19,BSP,11.75,0,0,11.76,0,0,11.76,0,0,0
2019-12-20,BSP,11.77,0,11.78,11.78,11.78,11.77,11.76,0.02,3471,10
2019-12-23,BSP,11.77,0,0,11.78,0,0,11.78,0,0,0
2019-12-24,BSP,11.77,0,11.78,11.78,11.78,11.78,11.78,0,1040,2
2019-12-27,BSP,11.77,0,11.78,11.78,0,0,11.78,0,0,0
2019-12-30,BSP,11.77,0,11.78,11.78,0,0,11.78,0,0,0
2019-12-31,BSP,11.77,0,11.78,11.78,0,0,11.78,0,0,0
2020-01-02,BSP,11.77,0,11.78,11.78,0,0,11.78,0,0,0
2020-01-03,BSP,11.77,0,11.78,11.78,0,0,11.78,0,0,0
2020-01-06,BSP,11.77,0,11.78,11.78,0,0,11.78,0,0,0
2020-01-07,BSP,11.77,0,11.78,11.78,0,0,11.78,0,0,0
2020-01-08,BSP,11.73,0,11.75,11.75,11.77,11.75,11.78,-0.03,46137,24
2020-01-09,BSP,11.73,0,0,11.75,0,0,11.75,0,0,0
2020-01-10,BSP,11.77,0,11.78,11.78,11.78,11.78,11.75,0.03,5667,8
2020-01-13,BSP,11.77,0,0,11.78,0,0,11.78,0,0,0
2020-01-14,BSP,11.77,0,0,11.78,0,0,11.78,0,0,0
2020-01-15,BSP,11.77,0,11.78,11.78,11.78,11.78,11.78,0,50821,4
2020-01-16,BSP,11.78,0,11.79,11.79,11.79,11.78,11.78,0.01,1654,5
2020-01-17,BSP,11.78,0,0,11.79,0,0,11.79,0,0,0
2020-01-20,BSP,11.78,0,0,11.79,0,0,11.79,0,0,0
2020-01-21,BSP,11.78,0,11.79,11.79,11.79,11.79,11.79,0,2000,4
2020-01-22,BSP,11.78,0,0,11.79,0,0,11.79,0,0,0
2020-01-23,BSP,11.78,0,11.78,11.78,11.78,11.78,11.79,-0.01,2000,3
2020-01-24,BSP,11.78,0,0,11.78,0,0,11.78,0,0,0
2020-01-27,BSP,11.78,0,0,11.78,0,0,11.78,0,0,0
2020-01-28,BSP,11.78,0,0,11.78,0,0,11.78,0,0,0
2020-01-29,BSP,11.78,0,11.79,11.79,11.79,11.79,11.78,0.01,3721,1
2020-01-30,BSP,11.78,0,11.78,11.78,11.78,11.78,11.79,-0.01,357,1
2020-01-31,BSP,11.78,0,11.79,11.79,11.79,11.79,11.78,0.01,535,2
2020-02-03,BSP,11.8,0,11.8,11.8,11.8,11.8,11.79,0.01,5923,8
2020-02-04,BSP,11.78,0,11.8,11.8,11.8,11.8,11.8,0,12000,23
2020-02-05,BSP,11.78,0,11.8,11.8,0,0,11.8,0,0,0
2020-02-06,BSP,11.78,0,11.79,11.79,11.79,11.79,11.8,-0.01,237,8
2020-02-07,BSP,11.78,0,11.79,11.79,0,0,11.79,0,0,0
2020-02-10,BSP,11.78,0,11.79,11.79,0,0,11.79,0,0,0
2020-02-11,BSP,11.78,0,11.79,11.79,0,0,11.79,0,0,0
2020-02-12,BSP,11.78,0,11.79,11.79,0,0,11.79,0,0,0
2020-02-13,BSP,11.78,0,11.79,11.79,0,0,11.79,0,0,1
2020-02-14,BSP,11.78,0,11.79,11.79,0,0,11.79,0,0,0
2020-02-17,BSP,11.8,0,11.78,11.78,11.78,11.78,11.79,-0.01,919,4
2020-02-18,BSP,11.81,0,11.81,11.81,11.81,11.81,11.78,0.03,879932,5
2020-02-19,BSP,11.81,0,0,11.81,0,0,11.81,0,0,0
2020-02-20,BSP,11.81,0,0,11.81,0,0,11.81,0,0,0
2020-02-21,BSP,11.79,12.5,11.79,11.79,11.81,11.79,11.81,-0.02,10900,5
2020-02-24,BSP,11.79,12.5,0,11.79,0,0,11.79,0,0,0
2020-02-25,BSP,11.79,0,12.5,12.5,12.5,12.5,11.79,0.71,7000,3
2020-02-26,BSP,11.79,0,0,12.5,0,0,12.5,0,0,0
2020-02-27,BSP,11.79,0,0,12.5,0,0,12.5,0,0,0
2020-02-28,BSP,11.79,0,12,12,12,12,12.5,-0.5,50000,4
2020-03-02,BSP,11.79,0,0,12,0,0,12,0,0,0
2020-03-03,BSP,11.8,12.5,0,12,0,0,12,0,0,2
2020-03-04,BSP,12.1,12.5,12.1,12.1,12.5,11.91,12,0.1,3351,9
2020-03-05,BSP,11.8,0,12.1,12.1,12.1,12.1,12.1,0,1940,4
2020-03-06,BSP,11.8,0,0,12.1,0,0,12.1,0,0,0
2020-03-09,BSP,11.8,0,0,12.1,0,0,12.1,0,0,0
2020-03-10,BSP,11.8,0,12,12,12,12,12.1,-0.1,897,2
2020-03-11,BSP,12,0,0,12,0,0,12,0,0,0
2020-03-12,BSP,12,0,0,12,0,0,12,0,0,0
2020-03-13,BSP,12,0,12,12,12,12,12,0,16416,6
2020-03-16,BSP,12,0,0,12,0,0,12,0,0,0
2020-03-17,BSP,12,0,12.1,12.1,12.1,12.1,12,0.1,526,3
2020-03-18,BSP,12,0,12,12,12,12,12.1,-0.1,2035,2
2020-03-19,BSP,11.78,12,12,12,12,12,12,0,1057337,8
2020-03-20,BSP,12,0,12,12,12,12,12,0,7866,3
2020-03-23,BSP,12,12.37,12.01,12.01,12.01,12.01,12,0.01,26085,1
2020-03-24,BSP,12,12.5,0,12.01,0,0,12.01,0,0,0
2020-03-25,BSP,12,12.5,0,12.01,0,0,12.01,0,0,0
2020-03-26,BSP,12,12.5,12,12,12,12,12.01,-0.01,1124,3
2020-03-27,BSP,12,12.5,0,12,0,0,12,0,0,0
2020-03-30,BSP,12,12.5,12,12,12,12,12,0,19352,4
2020-03-31,BSP,12,12.5,0,12,0,0,12,0,0,1
2020-04-01,BSP,11.78,12,12,12,12,12,12,0,4578,6
2020-04-02,BSP,11.78,12,12,12,0,0,12,0,0,0
2020-04-03,BSP,11.78,12,12,12,0,0,12,0,0,0
2020-04-06,BSP,11.78,12,12,12,0,0,12,0,0,0
2020-04-07,BSP,11.78,12,12,12,0,0,12,0,0,0
2020-04-08,BSP,11.78,12,12,12,0,0,12,0,0,0
2020-04-09,BSP,0,0,12,12,12,12,12,0,2255,4
2020-04-14,BSP,0,0,0,12,0,0,12,0,0,0
2020-04-15,BSP,11.5,12,12,12,12,12,12,0,6000,4
2020-04-16,BSP,11.5,12,0,12,0,0,12,0,0,0
2020-04-17,BSP,11.5,0,12,12,12,12,12,0,32676,4
2020-04-20,BSP,11.5,0,12,12,0,0,12,0,0,0
2020-04-21,BSP,11.5,0,12,12,0,0,12,0,0,0
2020-04-22,BSP,11.1,0,12,12,0,0,12,0,0,0
2020-04-23,BSP,11.1,0,12,12,0,0,12,0,0,0
2020-04-24,BSP,11.1,0,12,12,0,0,12,0,0,0
2020-04-27,BSP,11.1,0,12,12,0,0,12,0,0,0
2020-04-28,BSP,11.1,0,12,12,0,0,12,0,0,0
2020-04-29,BSP,11.1,0,12,12,0,0,12,0,0,0
2020-04-30,BSP,11.1,0,12,12,12,12,12,0,11809,4
2020-05-01,BSP,11.1,0,0,12,0,0,12,0,0,0
2020-05-04,BSP,0,0,12,12,12,12,12,0,65000,1
2020-05-05,BSP,0,0,0,12,0,0,12,0,0,0
2020-05-06,BSP,0,12.5,12.5,12.5,12.5,12.5,12,0.5,20963,1
2020-05-07,BSP,0,12.5,12.5,12.5,0,0,12.5,0,0,0
2020-05-08,BSP,0,12.5,12,12,12,12,12.5,-0.5,1511,3
2020-05-11,BSP,0,12.5,12,12,0,0,12,0,0,0
2020-05-12,BSP,0,12.5,12,12,0,0,12,0,0,0
2020-05-13,BSP,0,12.5,12,12,0,0,12,0,0,0
2020-05-14,BSP,0,12,12,12,12,12,12,0,3411,2
2020-05-15,BSP,0,12.5,12,12,12,12,12,0,1105,4
2020-05-18,BSP,0,12.5,12,12,12,12,12,0,8000,1
2020-05-19,BSP,0,12.5,12,12,12,12,12,0,31304,4
2020-05-20,BSP,0,12.5,12,12,0,0,12,0,0,0
2020-05-21,BSP,0,12.5,12,12,12,12,12,0,1520,4
2020-05-22,BSP,0,0,12,12,0,0,12,0,0,0
2020-05-25,BSP,0,0,12,12,0,0,12,0,0,0
2020-05-26,BSP,12,0,12,12,0,0,12,0,0,0
2020-05-27,BSP,12,0,12,12,0,0,12,0,0,0
2020-05-28,BSP,12.01,0,12.01,12.01,12.01,12,12,0.01,4535,10
2020-05-29,BSP,12.01,0,12.01,12.01,12.01,12.01,12.1,0,665,3
2020-06-01,BSP,12.01,0,12.01,12.01,0,0,12.1,0,0,0
2020-06-02,BSP,12.01,0,12.01,12.01,0,0,12.1,0,0,0
2020-06-03,BSP,12.01,0,12.01,12.01,0,0,12.1,0,0,0
2020-06-04,BSP,12.01,0,12.01,12.01,0,0,12.1,0,0,0
2020-06-05,BSP,12,0,12,12,12.01,12,12.1,-0.01,1095,7
2020-06-09,BSP,12,0,12,12,0,0,12,0,0,0
2020-06-10,BSP,12,0,12,12,0,0,12,0,0,0
2020-06-11,BSP,12.01,0,12,12,12,12,12,0,140,5
2020-06-12,BSP,12.01,0,12.02,12.02,12.02,12.02,12,0.02,720,4
2020-06-15,BSP,12.01,0,12.02,12.02,0,0,12.02,0,0,0
2020-06-16,BSP,12.01,0,12.02,12.02,0,0,12.02,0,0,0
2020-06-17,BSP,12.01,0,12.02,12.02,0,0,12.02,0,0,0
2020-06-18,BSP,11.5,0,12,12,12.02,11.85,12.02,-0.02,230668,24
2020-06-19,BSP,11.5,0,12,12,0,0,12,0,0,0
2020-06-22,BSP,11.5,0,12,12,0,0,12,0,0,0
2020-06-23,BSP,11.5,12,12,12,12,11.85,12,0,102715,3
2020-06-24,BSP,11.5,12,12,12,12,12,12,0,12626,3
2020-06-25,BSP,11.5,12,12,12,12,12,12,0,5166,2
2020-06-26,BSP,11.5,0,12,12,12,12,12,0,5574,5
2020-06-29,BSP,11.5,0,0,12,0,0,12,0,0,0
2020-06-30,BSP,11.5,12,12,12,12,12,12,0,6085,4
2020-07-01,BSP,11.5,12,12,12,0,0,12,0,0,0
2020-07-02,BSP,11.5,12,12,12,0,0,12,0,0,0
2020-07-03,BSP,11.5,12,12,12,0,0,12,0,0,0
2020-07-06,BSP,12,0,12,12,12,12,12,0,4316,11
2020-07-07,BSP,12,0,0,12,0,0,12,0,0,0
2020-07-08,BSP,12,0,0,12,0,0,12,0,0,0
2020-07-09,BSP,12,0,0,12,0,0,12,0,0,2
2020-07-10,BSP,12,0,12,12,12,12,12,0,506,2
2020-07-13,BSP,12,0,12,12,0,0,12,0,0,0
2020-07-14,BSP,12,0,12,12,0,0,12,0,0,0
2020-07-15,BSP,12,0,12,12,0,0,12,0,0,0
2020-07-16,BSP,12,0,12,12,0,0,12,0,0,0
2020-07-17,BSP,12,0,12,12,0,0,12,0,0,0
2020-07-20,BSP,12,0,12,12,0,0,12,0,0,2
2020-07-21,BSP,12,0,12,12,12.1,12,12,0,9421,4
2020-07-22,BSP,12,0,12,12,12,12,12,0,12469,5
2020-07-24,BSP,12,0,0,12,0,0,12,0,0,0
2020-07-27,BSP,12,0,0,12,0,0,12,0,0,0
2020-07-28,BSP,12,0,12.01,12.01,12.01,12.01,12,0.01,300,2
2020-07-29,BSP,12.01,0,12.02,12.02,12.02,12.02,12.01,0.01,536,5
2020-07-30,BSP,12,0,12.01,12.01,12.02,12.01,12.02,-0.01,889417,4
2020-07-31,BSP,12,0,12.01,12.01,0,0,12.01,0,0,1
2020-08-03,BSP,12,0,12,12,12,12,12.01,-0.01,1845,3
2020-08-04,BSP,12,0,12,12,0,0,12,0,0,0
2020-08-05,BSP,12,0,12,12,0,0,12,0,0,0
2020-08-06,BSP,12,0,12,12,0,0,12,0,0,0
2020-08-07,BSP,0,0,12,12,12,12,12,0,122101,23
2020-08-10,BSP,0,0,12,12,0,0,12,0,0,1
2020-08-11,BSP,12,0,12,12,12,12,12,0,54895,3
2020-08-12,BSP,12,0,12,12,0,0,12,0,0,0
2020-08-13,BSP,0,0,12,12,12,12,12,0,16823,7
2020-08-14,BSP,0,0,12,12,0,0,12,0,0,0
2020-08-17,BSP,0,0,12,12,0,0,12,0,0,0
2020-08-18,BSP,0,0,12,12,0,0,12,0,0,0
2020-08-19,BSP,0,0,12,12,12,12,12,0,58300,4
2020-08-20,BSP,0,0,12,12,12,12,12,0,97441,3
2020-08-21,BSP,0,0,12,12,12,12,12,0,50636,4
2020-08-24,BSP,0,0,12,12,0,0,12,0,0,0
2020-08-25,BSP,0,0,12,12,12,12,12,0,1000,1
2020-08-27,BSP,0,0,12,12,0,0,12,0,0,0
2020-08-28,BSP,12,0,12,12,0,0,12,0,0,0
2020-08-31,BSP,12,0,12,12,12,12,12,0,259,2
2020-09-01,BSP,12,0,12,12,12.01,12,12,0,1698,5
2020-09-02,BSP,12,0,12,12,0,0,12,0,0,0
2020-09-03,BSP,12,0,12,12,0,0,12,0,0,0
2020-09-04,BSP,12,0,12,12,0,0,12,0,0,0
2020-09-07,BSP,12,0,12,12,0,0,12,0,0,0
2020-09-08,BSP,12,0,12,12,0,0,12,0,0,0
2020-09-09,BSP,0,0,12,12,12,12,12,0,86974,9
2020-09-10,BSP,0,0,12,12,0,0,12,0,0,0
2020-09-11,BSP,0,0,12,12,12,12,12,0,752143,13
2020-09-14,BSP,0,0,12,12,12,12,12,0,5066,2
2020-09-15,BSP,0,0,12,12,0,0,12,0,0,0
2020-09-17,BSP,0,0,12,12,12,12,12,0,21626,2
2020-09-18,BSP,0,0,12,12,12,12,12,0,8250,1
2020-09-21,BSP,0,0,12,12,0,0,12,0,0,0
2020-09-22,BSP,0,0,12,12,0,0,12,0,0,0
2020-09-23,BSP,0,0,12,12,12,12,12,0,26470,11
