Date,Short Name,Bid,Offer,Last,Close,High,Low,Open,Chg. Today,Vol. Today,Num. Trades
2019-11-18,CCP,1.6,0,0,1.75,0,0,0,0,0,0
2019-11-19,CCP,0,1.6,1.6,1.6,1.65,1.6,0,-0.15,3875,5
2019-11-20,CCP,0,1.6,1.6,1.6,0,0,0,0,0,0
2019-11-21,CCP,0,1.6,1.6,1.6,0,0,0,0,0,0
2019-11-22,CCP,0,1.6,1.6,1.6,0,0,0,0,0,0
2019-11-25,CCP,0,1.6,1.6,1.6,0,0,0,0,0,0
2019-11-26,CCP,0,1.6,1.6,1.6,1.6,1.6,0,0,4250,4
2019-11-27,CCP,0,1.6,0,1.6,0,0,0,0,0,0
2019-11-28,CCP,0,1.6,0,1.6,0,0,0,0,0,0
2019-11-29,CCP,0,1.6,0,1.6,0,0,0,0,0,0
2019-12-02,CCP,1.6,0,1.6,1.6,1.6,1.6,0,0,1542,1
2019-12-03,CCP,1.6,0,1.6,1.6,0,0,0,0,0,0
2019-12-04,CCP,1.6,0,1.6,1.6,0,0,0,0,0,0
2019-12-05,CCP,1.6,0,1.6,1.6,0,0,0,0,0,0
2019-12-06,CCP,1.6,0,1.6,1.6,0,0,0,0,0,0
2019-12-09,CCP,1.6,0,1.6,1.6,0,0,0,0,0,0
2019-12-10,CCP,0,1.6,1.6,1.6,1.6,1.6,0,0,5129,2
2019-12-11,CCP,0,1.6,1.6,1.6,0,0,0,0,0,0
2019-12-12,CCP,0,1.6,1.6,1.6,0,0,0,0,0,0
2019-12-13,CCP,0,1.6,1.6,1.6,0,0,0,0,0,0
2019-12-16,CCP,0,1.6,1.6,1.6,0,0,0,0,0,0
2019-12-17,CCP,0,1.6,1.6,1.6,1.6,1.6,0,0,1250,1
2019-12-18,CCP,0,1.6,0,1.6,0,0,0,0,0,0
2019-12-19,CCP,0,1.6,0,1.6,0,0,0,0,0,0
2019-12-20,CCP,0,0,1.6,1.6,1.6,1.6,0,0,27238,5
2019-12-23,CCP,0,0,1.6,1.6,0,0,0,0,0,0
2019-12-24,CCP,0,0,1.6,1.6,0,0,0,0,0,0
2019-12-27,CCP,0,0,1.6,1.6,0,0,0,0,0,0
2019-12-30,CCP,0,1.6,1.6,1.6,0,0,0,0,0,0
2019-12-31,CCP,0,1.6,1.6,1.6,0,0,0,0,0,0
2020-01-02,CCP,0,1.6,1.6,1.6,0,0,0,0,0,0
2020-01-03,CCP,0,0,1.65,1.65,1.65,1.6,0,0.05,21428,2
2020-01-06,CCP,0,0,1.65,1.65,0,0,0,0,0,0
2020-01-07,CCP,0,0,1.65,1.65,0,0,0,0,0,0
2020-01-08,CCP,1.6,0,1.65,1.65,0,0,0,0,0,0
2020-01-09,CCP,1.6,0,1.65,1.65,0,0,0,0,0,0
2020-01-10,CCP,1.6,0,1.65,1.65,0,0,0,0,0,0
2020-01-13,CCP,1.6,0,1.65,1.65,0,0,0,0,0,0
2020-01-14,CCP,1.6,0,1.65,1.65,0,0,0,0,0,0
2020-01-15,CCP,1.6,0,1.65,1.65,0,0,0,0,0,0
2020-01-16,CCP,1.6,0,1.65,1.65,0,0,0,0,0,0
2020-01-17,CCP,1.6,0,1.65,1.65,0,0,0,0,0,0
2020-01-20,CCP,1.65,0,1.65,1.65,0,0,0,0,0,0
2020-01-21,CCP,1.65,0,1.65,1.65,0,0,0,0,0,0
2020-01-22,CCP,1.65,0,1.65,1.65,0,0,0,0,0,0
2020-01-23,CCP,1.65,0,1.65,1.65,0,0,0,0,0,0
2020-01-24,CCP,1.65,0,1.65,1.65,0,0,0,0,0,0
2020-01-27,CCP,1.65,0,1.65,1.65,0,0,0,0,0,0
2020-01-28,CCP,1.65,0,1.65,1.65,0,0,0,0,0,0
2020-01-29,CCP,1.65,0,1.65,1.65,0,0,0,0,0,0
2020-01-30,CCP,1.65,0,1.65,1.65,0,0,0,0,0,0
2020-01-31,CCP,1.65,0,1.65,1.65,0,0,0,0,0,0
