Date,Short Name,Bid,Offer,Last,Close,High,Low,Open,Chg. Today,Vol. Today,Num. Trades
2019-11-18,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-11-19,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-11-20,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-11-21,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-11-22,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-11-25,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-11-26,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-11-27,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-11-28,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-11-29,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-12-02,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-12-03,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-12-04,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-12-05,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-12-06,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-12-09,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-12-10,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-12-11,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-12-12,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-12-13,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-12-16,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-12-17,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-12-18,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-12-19,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-12-20,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-12-23,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-12-24,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-12-27,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-12-30,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2019-12-31,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2020-01-02,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2020-01-03,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2020-01-06,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2020-01-07,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2020-01-08,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2020-01-09,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2020-01-10,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2020-01-13,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2020-01-14,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2020-01-15,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2020-01-16,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2020-01-17,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2020-01-20,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2020-01-21,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2020-01-22,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2020-01-23,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2020-01-24,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2020-01-27,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2020-01-28,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2020-01-29,CGA,0,0,0.12,0.12,0,0,0,0,0,0
2020-01-30,CGA,0,0,0.12,0.12,0,0,0,0,0,0
