Date,Short Name,Bid,Offer,Last,Close,High,Low,Open,Chg. Today,Vol. Today,Num. Trades
2019-11-18,COY,0,0,0,0.02,0,0,0,0,0,0
2019-11-19,COY,0,0,0,0.02,0,0,0,0,0,0
2019-11-20,COY,0,0,0,0.02,0,0,0,0,0,0
2019-11-21,COY,0,0,0,0.02,0,0,0,0,0,0
2019-11-22,COY,0,0,0,0.02,0,0,0,0,0,0
2019-11-25,COY,0,0,0,0.02,0,0,0,0,0,0
2019-11-26,COY,0,0,0,0.02,0,0,0,0,0,0
2019-11-27,COY,0,0,0,0.02,0,0,0,0,0,0
2019-11-28,COY,0,0,0,0.02,0,0,0,0,0,0
2019-11-29,COY,0,0,0,0.02,0,0,0,0,0,0
2019-12-02,COY,0,0,0,0.02,0,0,0,0,0,0
2019-12-03,COY,0,0,0.02,0.02,0,0,0,0,0,0
2019-12-04,COY,0,0,0.02,0.02,0,0,0,0,0,0
2019-12-05,COY,0,0,0.02,0.02,0,0,0,0,0,0
2019-12-06,COY,0,0,0.02,0.02,0,0,0,0,0,0
2019-12-09,COY,0,0,0.02,0.02,0,0,0,0,0,0
2019-12-10,COY,0,0,0.02,0.02,0,0,0,0,0,0
2019-12-11,COY,0,0,0.02,0.02,0,0,0,0,0,0
2019-12-12,COY,0,0,0.02,0.02,0,0,0,0,0,0
2019-12-13,COY,0,0,0.02,0.02,0,0,0,0,0,0
2019-12-16,COY,0,0,0.02,0.02,0,0,0,0,0,0
2019-12-17,COY,0,0,0.02,0.02,0,0,0,0,0,0
2019-12-18,COY,0,0,0.02,0.02,0,0,0,0,0,0
2019-12-19,COY,0,0,0.02,0.02,0,0,0,0,0,0
2019-12-20,COY,0,0,0.02,0.02,0,0,0,0,0,0
2019-12-23,COY,0,0,0.02,0.02,0,0,0,0,0,0
2019-12-24,COY,0,0,0.02,0.02,0,0,0,0,0,0
2019-12-27,COY,0,0,0.02,0.02,0,0,0,0,0,0
2019-12-30,COY,0,0,0.02,0.02,0,0,0,0,0,0
2019-12-31,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-01-02,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-01-03,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-01-06,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-01-07,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-01-08,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-01-09,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-01-10,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-01-13,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-01-14,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-01-15,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-01-16,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-01-17,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-01-20,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-01-21,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-01-22,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-01-23,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-01-24,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-01-27,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-01-28,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-01-29,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-01-30,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-01-31,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-02-03,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-02-04,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-02-05,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-02-06,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-02-07,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-02-10,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-02-11,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-02-12,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-02-13,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-02-14,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-02-17,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-02-18,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-02-19,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-02-20,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-02-21,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-02-24,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-02-25,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-02-26,COY,0,0,0.02,0.02,0,0,0,0,0,0
2020-02-27,COY,0,0,0.02,0.02,0,0,0,0,0,0
