Date,Short Name,Bid,Offer,Last,Close,High,Low,Open,Chg. Today,Vol. Today,Num. Trades
2019-11-18,CPL,0.65,1.55,0,0.65,0,0,0,0,0,0
2019-11-19,CPL,0.65,0,0,0.65,0,0,0,0,0,0
2019-11-20,CPL,0.65,0,0,0.65,0,0,0,0,0,0
2019-11-21,CPL,0.65,0,0,0.65,0,0,0,0,0,0
2019-11-22,CPL,0.65,0,0,0.65,0,0,0,0,0,0
2019-11-25,CPL,0.65,0,0,0.65,0,0,0,0,0,0
2019-11-26,CPL,0.65,0,0.65,0.65,0.65,0.65,0,0,512,1
2019-11-27,CPL,0.65,0,0.65,0.65,0,0,0,0,0,0
2019-11-28,CPL,0.65,0,0.65,0.65,0,0,0,0,0,0
2019-11-29,CPL,0,0,0.65,0.65,0,0,0,0,0,0
2019-12-02,CPL,0,0.8,0.75,0.75,0.75,0.75,0,0.1,10000,1
2019-12-03,CPL,0,0.8,0.75,0.75,0,0,0,0,0,0
2019-12-04,CPL,0,0.8,0.75,0.75,0,0,0,0,0,0
2019-12-05,CPL,0,0.8,0.75,0.75,0,0,0,0,0,0
2019-12-06,CPL,0,0.8,0.75,0.75,0,0,0,0,0,0
2019-12-09,CPL,0,0.8,0.75,0.75,0,0,0,0,0,0
2019-12-10,CPL,0,0.8,0.75,0.75,0,0,0,0,0,0
2019-12-11,CPL,0,0.8,0.75,0.75,0,0,0,0,0,0
2019-12-12,CPL,0,0.8,0.75,0.75,0,0,0,0,0,0
2019-12-13,CPL,0,0,0.81,0.81,0.81,0.8,0,0.06,2500,2
2019-12-16,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2019-12-17,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2019-12-18,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2019-12-19,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2019-12-20,CPL,0,0,0.81,0.81,0.81,0.81,0,0,2397,1
2019-12-23,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2019-12-24,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2019-12-27,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2019-12-30,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2019-12-31,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2020-01-02,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2020-01-03,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2020-01-06,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2020-01-07,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2020-01-08,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2020-01-09,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2020-01-10,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2020-01-13,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2020-01-14,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2020-01-15,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2020-01-16,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2020-01-17,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2020-01-20,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2020-01-21,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2020-01-22,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2020-01-23,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2020-01-24,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2020-01-27,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2020-01-28,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2020-01-29,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2020-01-30,CPL,0,0,0.81,0.81,0,0,0,0,0,0
2020-01-31,CPL,0.8,0,0.8,0.8,0.8,0.8,0,-0.01,466,1
2020-02-03,CPL,0.8,0,0.8,0.8,0,0,0,0,0,0
2020-02-04,CPL,0.8,0,0.8,0.8,0,0,0,0,0,0
2020-02-05,CPL,0.8,0,0.8,0.8,0,0,0,0,0,0
2020-02-06,CPL,0.8,0,0.8,0.8,0,0,0,0,0,0
2020-02-07,CPL,0.8,0,0.8,0.8,0,0,0,0,0,0
2020-02-10,CPL,0.8,0,0.8,0.8,0,0,0,0,0,0
2020-02-11,CPL,0.8,0,0.8,0.8,0,0,0,0,0,0
2020-02-12,CPL,0.8,0,0.8,0.8,0,0,0,0,0,0
2020-02-13,CPL,0.8,0,0.8,0.8,0,0,0,0,0,0
2020-02-14,CPL,0.8,0,0.8,0.8,0,0,0,0,0,0
2020-02-17,CPL,0.8,0,0.8,0.8,0,0,0,0,0,0
2020-02-18,CPL,0.8,0,0.8,0.8,0.8,0.8,0,0,1100,1
2020-02-19,CPL,0.8,0,0.8,0.8,0,0,0,0,0,0
2020-02-20,CPL,0.8,0,0.8,0.8,0,0,0,0,0,0
2020-02-21,CPL,0.8,0,0.8,0.8,0,0,0,0,0,0
2020-02-24,CPL,0.8,0,0.8,0.8,0,0,0,0,0,0
2020-02-25,CPL,0.8,0,0.8,0.8,0,0,0,0,0,0
2020-02-26,CPL,0.8,0,0.8,0.8,0,0,0,0,0,0
2020-02-27,CPL,0.8,0,0.8,0.8,0,0,0,0,0,0
2020-02-28,CPL,0.8,0,0.81,0.81,0.81,0.81,0,0.01,4589,4
2020-03-02,CPL,0.8,0,0,0.81,0,0,0,0,0,0
2020-03-03,CPL,0.8,0,0,0.81,0,0,0,0,0,0
2020-03-04,CPL,0.8,0,0,0.81,0,0,0,0,0,0
2020-03-05,CPL,0.8,0,0,0.81,0,0,0,0,0,0
2020-03-06,CPL,0.8,0,0.81,0.81,0.81,0.81,0,0,232000,1
2020-03-09,CPL,0.8,0,0,0.81,0,0,0,0,0,0
2020-03-10,CPL,0.8,0,0,0.81,0,0,0,0,0,0
2020-03-11,CPL,0.8,0,0,0.81,0,0,0,0,0,0
2020-03-12,CPL,0.8,0,0,0.81,0,0,0,0,0,0
2020-03-13,CPL,0.8,0,0,0.81,0,0,0,0,0,0
2020-03-16,CPL,0.8,0,0,0.81,0,0,0,0,0,0
2020-03-17,CPL,0.8,0,0,0.81,0,0,0,0,0,0
