Date,Short Name,Bid,Offer,Last,Close,High,Low,Open,Chg. Today,Vol. Today,Num. Trades
2019-11-18,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-11-19,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-11-20,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-11-21,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-11-22,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-11-25,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-11-26,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-11-27,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-11-28,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-11-29,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-12-02,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-12-03,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-12-04,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-12-05,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-12-06,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-12-09,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-12-10,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-12-11,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-12-12,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-12-13,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-12-16,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-12-17,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-12-18,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-12-19,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-12-20,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-12-23,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-12-24,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-12-27,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-12-30,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2019-12-31,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-01-02,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-01-03,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-01-06,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-01-07,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-01-08,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-01-09,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-01-10,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-01-13,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-01-14,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-01-15,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-01-16,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-01-17,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-01-20,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-01-21,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-01-22,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-01-23,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-01-24,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-01-27,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-01-28,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-01-29,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-01-30,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-01-31,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-02-03,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-02-04,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-02-05,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-02-06,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-02-07,KAM,0,0.95,0.95,0.95,0.95,0.95,0,0,10278,7
2020-02-10,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-02-11,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-02-12,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-02-13,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-02-14,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-02-17,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-02-18,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-02-19,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-02-20,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-02-21,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-02-24,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-02-25,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-02-26,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-02-27,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-02-28,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-03-02,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-03-03,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-03-04,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-03-05,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-03-06,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-03-09,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-03-10,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-03-11,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-03-12,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-03-13,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-03-16,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-03-17,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-03-18,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-03-19,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-03-20,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-03-23,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-03-24,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-03-25,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-03-26,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-03-27,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-03-30,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-03-31,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-04-01,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-04-02,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-04-03,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-04-06,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-04-07,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-04-08,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-04-09,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-04-14,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-04-15,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-04-16,KAM,0,0.94,0.95,0.95,0,0,0,0,0,0
2020-04-17,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-04-20,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-04-21,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-04-22,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-04-23,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-04-24,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-04-27,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-04-28,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-04-29,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-04-30,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-05-01,KAM,0,0,0.95,0.95,0,0,0,0,0,0
2020-05-04,KAM,0,0,0.95,0.95,0,0,0,0,0,0
2020-05-05,KAM,0,0,0.95,0.95,0,0,0,0,0,0
2020-05-06,KAM,0,0,0.95,0.95,0,0,0,0,0,0
2020-05-07,KAM,0,0,0.95,0.95,0,0,0,0,0,0
2020-05-08,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-05-11,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-05-12,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-05-13,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-05-14,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-05-15,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-05-18,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-05-19,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-05-20,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-05-21,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-05-22,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-05-25,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-05-26,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-05-27,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-05-28,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-05-29,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-06-01,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-06-02,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-06-03,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-06-04,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-06-05,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-06-09,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-06-10,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-06-11,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-06-12,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-06-15,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-06-16,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-06-17,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-06-18,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-06-19,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-06-22,KAM,0,0,0.95,0.95,0,0,0,0,0,0
2020-06-23,KAM,0,0,0.95,0.95,0,0,0,0,0,0
2020-06-24,KAM,0,0,0.95,0.95,0,0,0,0,0,0
2020-06-25,KAM,0,0,0.95,0.95,0,0,0,0,0,0
2020-06-26,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-06-29,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-06-30,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-07-01,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-07-02,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-07-03,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-07-06,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-07-07,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-07-08,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-07-09,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-07-10,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-07-13,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-07-14,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-07-15,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-07-16,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-07-17,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-07-20,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-07-21,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-07-22,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-07-24,KAM,0,0.95,0.95,0.95,0.95,0.95,0,0,6105,1
2020-07-27,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-07-28,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-07-29,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-07-30,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-07-31,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-08-03,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-08-04,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-08-05,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-08-06,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-08-07,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-08-10,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-08-11,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-08-12,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-08-13,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-08-14,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-08-17,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-08-18,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-08-19,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-08-20,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-08-21,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-08-24,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-08-25,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-08-27,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-08-28,KAM,0,0.95,0.95,0.95,0.95,0.95,0,0,1894,4
2020-08-31,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-09-01,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-09-02,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-09-03,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-09-04,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-09-07,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-09-08,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-09-09,KAM,0,0.95,0.95,0.95,0.95,0.95,0,0,2115,2
2020-09-10,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-09-11,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-09-14,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-09-15,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-09-17,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-09-18,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-09-21,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-09-22,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-09-23,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-09-24,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-09-25,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-09-28,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-09-29,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-09-30,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-10-01,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-10-02,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-10-05,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-10-06,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-10-07,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-10-08,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-10-09,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-10-12,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-10-13,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-10-14,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-10-15,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-10-16,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-10-19,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-10-20,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-10-21,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-10-22,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-10-23,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-10-26,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-10-27,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-10-28,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-10-29,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-10-30,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-11-02,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-11-03,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-11-04,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-11-05,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-11-06,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-11-09,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-11-10,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-11-11,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-11-12,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-11-13,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-11-16,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-11-17,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-11-18,KAM,0,0.95,0.95,0.95,0,0,0,0,0,0
2020-11-19,KAM,0,0,0.95,0.95,0.95,0.95,0,0,4723,4
2020-11-20,KAM,0,0,0.9,0.9,0.9,0.9,0,-0.05,20000,1
2020-11-23,KAM,0,0.95,0,0.9,0,0,0,0,0,0
2020-11-24,KAM,0,0.95,0.95,0.95,0.95,0.95,0,0.05,2952,3
2020-11-25,KAM,0,0.95,0,0.95,0,0,0,0,0,0
2020-11-26,KAM,0,0.9,0.9,0.9,0.9,0.9,0,-0.05,5000,1
2020-11-27,KAM,0,0.9,0,0.9,0,0,0,0,0,0
2020-11-30,KAM,0,0.95,0.9,0.9,0.9,0.9,0,0,5000,1
2020-12-01,KAM,0,0.95,0.9,0.9,0,0,0,0,0,0
2020-12-02,KAM,0,0.95,0.9,0.9,0,0,0,0,0,0
2020-12-03,KAM,0,0.95,0.9,0.9,0,0,0,0,0,0
2020-12-04,KAM,0,0.95,0.9,0.9,0,0,0,0,0,0
2020-12-07,KAM,0,0.95,0.9,0.9,0,0,0,0,0,0
2020-12-08,KAM,0,0.95,0.9,0.9,0,0,0,0,0,0
2020-12-09,KAM,0,0.95,0.9,0.9,0,0,0,0,0,0
2020-12-10,KAM,0,0.95,0.9,0.9,0,0,0,0,0,0
2020-12-11,KAM,0,0.95,0.9,0.9,0,0,0,0,0,0
2020-12-14,KAM,0,0.95,0.9,0.9,0,0,0,0,0,0
2020-12-15,KAM,0,0.95,0.9,0.9,0,0,0,0,0,0
2020-12-16,KAM,0,0.95,0.9,0.9,0,0,0,0,0,0
2020-12-17,KAM,0,0.95,0.9,0.9,0,0,0,0,0,0
2020-12-18,KAM,0,0.95,0.9,0.9,0,0,0,0,0,0
2020-12-21,KAM,0,0.95,0.9,0.9,0,0,0,0,0,0
2020-12-22,KAM,0,0.95,0.9,0.9,0,0,0,0,0,0
2020-12-23,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2020-12-24,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2020-12-28,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2020-12-29,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2020-12-30,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2020-12-31,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2021-01-01,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2021-01-04,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2021-01-05,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2021-01-06,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2021-01-07,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2021-01-08,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2021-01-11,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2021-01-12,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2021-01-13,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2021-01-14,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2021-01-15,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2021-01-18,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2021-01-19,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2021-01-20,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2021-01-21,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2021-01-22,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2021-01-25,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2021-01-26,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2021-01-27,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2021-01-28,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2021-01-29,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2021-02-01,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2021-02-02,KAM,0,0.9,0.9,0.9,0,0,0,0,0,0
2021-02-03,KAM,0,0.9,0.9,0.9,0.95,0.9,0.9,0,0,0
2021-02-04,KAM,0,0.9,0.9,0.9,0.95,0.9,0.9,0,0,0
2021-02-05,KAM,0,0.9,0.9,0.9,0.95,0.9,0.9,0,0,0
