Date,Short Name,Bid,Offer,Last,Close,High,Low,Open,Chg. Today,Vol. Today,Num. Trades
2019-11-18,KSL,3.36,0,0,3.37,0,0,0,0,0,0
2019-11-19,KSL,3.37,0,3.37,3.37,3.37,3.37,0,0,727,1
2019-11-20,KSL,3.37,0,0,3.37,0,0,0,0,0,0
2019-11-21,KSL,3.37,0,3.37,3.37,3.37,3.37,0,0,843,3
2019-11-22,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2019-11-25,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2019-11-26,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2019-11-27,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2019-11-28,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2019-11-29,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2019-12-02,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2019-12-03,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2019-12-04,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2019-12-05,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2019-12-06,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2019-12-09,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2019-12-10,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2019-12-11,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2019-12-12,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2019-12-13,KSL,3.37,0,3.37,3.37,3.37,3.37,0,0,2348,5
2019-12-16,KSL,3.37,0,0,3.37,0,0,0,0,0,0
2019-12-17,KSL,3.37,0,3.37,3.37,3.37,3.37,0,0,4342,6
2019-12-18,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2019-12-19,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2019-12-20,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2019-12-23,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2019-12-24,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2019-12-27,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2019-12-30,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2019-12-31,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2020-01-02,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2020-01-03,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2020-01-06,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2020-01-07,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2020-01-08,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2020-01-09,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2020-01-10,KSL,3.37,0,3.37,3.37,3.37,3.37,0,0,357,1
2020-01-13,KSL,0,0,0,3.37,0,0,0,0,0,0
2020-01-14,KSL,0,0,0,3.37,0,0,0,0,0,0
2020-01-15,KSL,0,0,3.37,3.37,3.37,3.37,0,0,20000,7
2020-01-16,KSL,0,0,3.37,3.37,0,0,0,0,0,0
2020-01-17,KSL,0,0,3.37,3.37,0,0,0,0,0,0
2020-01-20,KSL,0,0,3.37,3.37,0,0,0,0,0,0
2020-01-21,KSL,0,0,3.37,3.37,0,0,0,0,0,0
2020-01-22,KSL,0,0,3.37,3.37,0,0,0,0,0,0
2020-01-23,KSL,3.3,0,3.37,3.37,0,0,0,0,0,0
2020-01-24,KSL,3.3,0,3.37,3.37,0,0,0,0,0,0
2020-01-27,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2020-01-28,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2020-01-29,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2020-01-30,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2020-01-31,KSL,3.37,0,3.37,3.37,0,0,0,0,0,0
2020-02-03,KSL,3.37,0,3.37,3.37,3.37,3.37,0,0,15000,5
2020-02-04,KSL,3.37,0,0,3.37,0,0,0,0,0,0
2020-02-05,KSL,3.37,0,0,3.37,0,0,0,0,0,0
2020-02-06,KSL,3.38,0,3.38,3.38,3.38,3.38,0,0.01,546,1
2020-02-07,KSL,3.38,0,3.38,3.38,0,0,0,0,0,0
2020-02-10,KSL,3.38,0,3.38,3.38,0,0,0,0,0,0
2020-02-11,KSL,3.38,0,3.38,3.38,0,0,0,0,0,0
2020-02-12,KSL,3.38,0,3.38,3.38,0,0,0,0,0,0
2020-02-13,KSL,3.38,0,3.38,3.38,0,0,0,0,0,0
2020-02-14,KSL,3.38,0,3.38,3.38,0,0,0,0,0,0
2020-02-17,KSL,3.38,0,3.38,3.38,0,0,0,0,0,0
2020-02-18,KSL,3.38,0,3.38,3.38,3.38,3.38,0,0,356,1
2020-02-19,KSL,3.38,0,3.38,3.38,0,0,0,0,0,0
2020-02-20,KSL,3.38,0,3.38,3.38,0,0,0,0,0,0
2020-02-21,KSL,3.38,0,3.38,3.38,0,0,0,0,0,0
2020-02-24,KSL,3.38,0,3.38,3.38,0,0,0,0,0,0
2020-02-25,KSL,3.38,0,3.38,3.38,0,0,0,0,0,0
2020-02-26,KSL,3.38,0,3.38,3.38,0,0,0,0,0,0
2020-02-27,KSL,3.38,0,3.38,3.38,0,0,0,0,0,0
2020-02-28,KSL,3.38,0,3.38,3.38,3.38,3.38,0,0,188,1
2020-03-02,KSL,3.38,0,3.38,3.38,0,0,0,0,0,0
2020-03-03,KSL,3.38,0,3.38,3.38,0,0,0,0,0,0
2020-03-04,KSL,3.38,0,3.38,3.38,0,0,0,0,0,0
2020-03-05,KSL,3.38,0,3.38,3.38,0,0,0,0,0,0
2020-03-06,KSL,3.38,0,3.38,3.38,3.38,3.38,0,0,282,1
2020-03-09,KSL,3.38,0,3.38,3.38,0,0,0,0,0,0
2020-03-10,KSL,3.38,0,3.38,3.38,0,0,0,0,0,0
2020-03-11,KSL,3.38,0,3.38,3.38,0,0,0,0,0,0
2020-03-12,KSL,3.38,0,3.38,3.38,0,0,0,0,0,0
2020-03-13,KSL,3.38,0,3.38,3.38,0,0,0,0,0,0
2020-03-16,KSL,3.38,0,3.38,3.38,0,0,0,0,0,0
2020-03-17,KSL,3.38,0,3.38,3.38,0,0,0,0,0,0
2020-03-18,KSL,3.38,0,3.38,3.38,0,0,0,0,0,0
2020-03-19,KSL,3.38,0,3.38,3.38,0,0,0,0,0,0
2020-03-20,KSL,3.38,0,3.38,3.38,0,0,0,0,0,0
2020-03-23,KSL,3.38,0,3.3,3.3,3.3,3.3,0,-0.08,1946507,4
2020-03-24,KSL,3.38,0,3.3,3.3,0,0,0,0,0,0
2020-03-25,KSL,3.38,0,3.3,3.3,0,0,0,0,0,0
2020-03-26,KSL,3.3,0,3.3,3.3,3.3,3.3,0,0,7602,17
