Date,Short Name,Bid,Offer,Last,Close,High,Low,Open,Chg. Today,Vol. Today,Num. Trades
2019-11-18,NCM,50,82.5,0,76.55,0,0,0,0,0,0
2019-11-19,NCM,50,82.5,0,76.55,0,0,0,0,0,0
2019-11-20,NCM,50,82.5,0,76.55,0,0,0,0,0,0
2019-11-21,NCM,50,82.5,0,76.55,0,0,0,0,0,0
2019-11-22,NCM,50,82.5,0,76.55,0,0,0,0,0,0
2019-11-25,NCM,50,82.5,0,76.55,0,0,0,0,0,0
2019-11-26,NCM,50,82.5,0,76.55,0,0,0,0,0,0
2019-11-27,NCM,76.55,82.5,76.55,76.55,76.55,76.55,0,0,46,2
2019-11-28,NCM,76.55,82.5,76.55,76.55,0,0,0,0,0,0
2019-11-29,NCM,76.55,82.5,76.55,76.55,0,0,0,0,0,0
2019-12-02,NCM,76.55,82.5,76.55,76.55,0,0,0,0,0,0
2019-12-03,NCM,76.55,82.5,76.55,76.55,0,0,0,0,0,0
2019-12-04,NCM,76.55,82.5,76.55,76.55,0,0,0,0,0,0
2019-12-05,NCM,76.55,90,76.55,76.55,0,0,0,0,0,0
2019-12-06,NCM,76.55,90,76.55,76.55,0,0,0,0,0,0
2019-12-09,NCM,76.55,90,76.55,76.55,0,0,0,0,0,0
2019-12-10,NCM,76.55,90,76.55,76.55,0,0,0,0,0,0
2019-12-11,NCM,76.55,90,76.55,76.55,0,0,0,0,0,0
2019-12-12,NCM,76.55,90,76.55,76.55,0,0,0,0,0,0
2019-12-13,NCM,76.55,90,76.55,76.55,0,0,0,0,0,0
2019-12-16,NCM,76.55,90,76.55,76.55,0,0,0,0,0,0
2019-12-17,NCM,70,90,76.55,76.55,0,0,0,0,0,0
2019-12-18,NCM,70,90,70,70,70,70,0,-6.55,322,7
2019-12-19,NCM,70,90,70,70,0,0,0,0,0,0
2019-12-20,NCM,70,90,70,70,0,0,0,0,0,0
2019-12-23,NCM,70,90,70,70,0,0,0,0,0,0
2019-12-24,NCM,70,90,70,70,0,0,0,0,0,0
2019-12-27,NCM,70,90,70,70,0,0,0,0,0,0
2019-12-30,NCM,70,90,70,70,0,0,0,0,0,0
2019-12-31,NCM,70,90,70,70,0,0,0,0,0,0
2020-01-02,NCM,70,90,70,70,0,0,0,0,0,0
2020-01-03,NCM,70,90,70,70,0,0,0,0,0,0
2020-01-06,NCM,70,90,70,70,0,0,0,0,0,0
2020-01-07,NCM,70,90,70,70,70,70,0,0,61,1
2020-01-08,NCM,70,90,70,70,0,0,0,0,0,0
2020-01-09,NCM,70,90,70,70,0,0,0,0,0,0
2020-01-10,NCM,70,0,70,70,0,0,0,0,0,0
2020-01-13,NCM,70,0,70,70,0,0,0,0,0,0
2020-01-14,NCM,70,0,70,70,0,0,0,0,0,0
2020-01-15,NCM,70,0,70,70,0,0,0,0,0,0
2020-01-16,NCM,70,0,70,70,70,70,0,0,129,1
2020-01-17,NCM,70,0,70,70,0,0,0,0,0,0
2020-01-20,NCM,70,0,70,70,0,0,0,0,0,0
2020-01-21,NCM,70,0,70,70,0,0,0,0,0,0
2020-01-22,NCM,70,0,70,70,0,0,0,0,0,0
2020-01-23,NCM,70,0,70,70,0,0,0,0,0,0
2020-01-24,NCM,70,0,70,70,0,0,0,0,0,0
2020-01-27,NCM,70,0,70,70,0,0,0,0,0,0
2020-01-28,NCM,70,0,70,70,0,0,0,0,0,0
2020-01-29,NCM,70,0,70,70,0,0,0,0,0,0
2020-01-30,NCM,70,0,70,70,0,0,0,0,0,0
2020-01-31,NCM,0,0,70,70,0,0,0,0,0,0
2020-02-03,NCM,0,0,70,70,0,0,0,0,0,0
2020-02-04,NCM,70,0,70,70,70,70,0,0,30,1
2020-02-05,NCM,70,0,70,70,0,0,0,0,0,0
2020-02-06,NCM,70,0,70,70,0,0,0,0,0,0
2020-02-07,NCM,70,0,70,70,0,0,0,0,0,0
2020-02-10,NCM,70,0,70,70,0,0,0,0,0,0
2020-02-11,NCM,70,0,70,70,0,0,0,0,0,0
2020-02-12,NCM,70,0,70,70,0,0,0,0,0,0
2020-02-13,NCM,70,0,70,70,0,0,0,0,0,0
2020-02-14,NCM,70,0,70,70,70,70,0,0,101,3
2020-02-17,NCM,0,70,70,70,70,70,0,0,8,1
2020-02-18,NCM,0,70,70,70,0,0,0,0,0,0
2020-02-19,NCM,0,0,70,70,70,70,0,0,132,2
2020-02-20,NCM,0,0,70,70,0,0,0,0,0,0
2020-02-21,NCM,0,0,70,70,0,0,0,0,0,0
2020-02-24,NCM,0,0,70,70,0,0,0,0,0,0
2020-02-25,NCM,0,68.96,70,70,0,0,0,0,0,0
2020-02-26,NCM,0,68.96,70,70,0,0,0,0,0,0
2020-02-27,NCM,0,68.96,70,70,0,0,0,0,0,0
2020-02-28,NCM,0,68.96,70,70,0,0,0,0,0,0
2020-03-02,NCM,0,68.96,70,70,0,0,0,0,0,0
2020-03-03,NCM,0,68.96,70,70,0,0,0,0,0,0
2020-03-04,NCM,0,0,65,65,65,65,0,-5,100,1
2020-03-05,NCM,0,0,65,65,65,65,65,0,0,0
2020-03-06,NCM,0,0,65,65,65,65,65,0,0,0
2020-03-09,NCM,0,0,65,65,65,65,65,0,0,0
2020-03-10,NCM,0,0,65,65,65,65,65,0,0,0
2020-03-11,NCM,0,0,65,65,65,65,65,0,0,0
2020-03-12,NCM,0,0,65,65,65,65,65,0,0,0
2020-03-13,NCM,0,0,65,65,65,65,65,0,0,0
2020-03-16,NCM,0,0,65,65,65,65,65,0,0,0
2020-03-17,NCM,0,0,65,65,65,65,65,0,0,0
2020-03-18,NCM,0,0,65,65,65,65,65,0,0,0
2020-03-19,NCM,0,70,65,65,65,65,65,0,0,0
2020-03-20,NCM,0,0,65,65,65,65,65,0,0,0
2020-03-23,NCM,0,0,65,65,65,65,65,0,0,0
2020-03-24,NCM,0,0,65,65,65,65,65,0,0,0
2020-03-25,NCM,0,0,65,65,65,65,65,0,0,0
2020-03-26,NCM,0,0,65,65,65,65,65,0,0,0
2020-03-27,NCM,0,0,65,65,65,65,65,0,0,0
2020-03-30,NCM,0,0,65,65,65,65,65,0,0,0
2020-03-31,NCM,0,65,65,65,65,65,65,0,0,0
2020-04-01,NCM,0,65,65,65,65,65,65,0,0,0
2020-04-02,NCM,0,65,65,65,65,65,65,0,0,0
