Date,Short Name,Bid,Offer,Last,Close,High,Low,Open,Chg. Today,Vol. Today,Num. Trades
2019-11-18,NGP,0,0,0.66,0.66,0,0,0,0,0,0
2019-11-19,NGP,0,0,0.66,0.66,0,0,0,0,0,0
2019-11-20,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2019-11-21,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2019-11-22,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2019-11-25,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2019-11-26,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2019-11-27,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2019-11-28,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2019-11-29,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2019-12-02,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2019-12-03,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2019-12-04,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2019-12-05,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2019-12-06,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2019-12-09,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2019-12-10,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2019-12-11,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2019-12-12,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2019-12-13,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2019-12-16,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2019-12-17,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2019-12-18,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2019-12-19,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2019-12-20,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2019-12-23,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2019-12-24,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2019-12-27,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2019-12-30,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2019-12-31,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-01-02,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-01-03,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-01-06,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-01-07,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-01-08,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-01-09,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-01-10,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-01-13,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-01-14,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-01-15,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-01-16,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-01-17,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-01-20,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-01-21,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-01-22,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-01-23,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-01-24,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-01-27,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-01-28,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-01-29,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-01-30,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-01-31,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-02-03,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-02-04,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-02-05,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-02-06,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-02-07,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-02-10,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-02-11,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-02-12,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-02-13,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-02-14,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-02-17,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-02-18,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-02-19,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-02-20,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-02-21,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-02-24,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-02-25,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-02-26,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-02-27,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-02-28,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-03-02,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-03-03,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-03-04,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-03-05,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-03-06,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-03-09,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-03-10,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-03-11,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-03-12,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-03-13,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-03-16,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-03-17,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-03-18,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-03-19,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-03-20,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-03-23,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-03-24,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-03-25,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-03-26,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-03-27,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-03-30,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-03-31,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-04-01,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-04-02,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-04-03,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-04-06,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-04-07,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-04-08,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-04-09,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-04-14,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-04-15,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-04-16,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-04-17,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-04-20,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-04-21,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-04-22,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-04-23,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-04-24,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-04-27,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-04-28,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-04-29,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-04-30,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-05-01,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-05-04,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-05-05,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-05-06,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-05-07,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-05-08,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-05-11,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-05-12,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-05-13,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-05-14,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-05-15,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-05-18,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-05-19,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-05-20,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-05-21,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-05-22,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-05-25,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-05-26,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-05-27,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-05-28,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-05-29,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-06-01,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-06-02,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-06-03,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-06-04,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-06-05,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-06-09,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-06-10,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-06-11,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-06-12,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-06-15,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-06-16,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-06-17,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-06-18,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-06-19,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-06-22,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-06-23,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-06-24,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-06-25,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-06-26,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-06-29,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-06-30,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-07-01,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-07-02,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-07-03,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-07-06,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-07-07,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-07-08,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-07-09,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-07-10,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-07-13,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-07-14,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-07-15,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-07-16,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-07-17,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-07-20,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-07-21,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-07-22,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-07-24,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-07-27,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-07-28,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-07-29,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-07-30,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-07-31,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-08-03,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-08-04,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-08-05,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-08-06,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-08-07,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-08-10,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-08-11,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-08-12,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-08-13,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-08-14,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-08-17,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
2020-08-18,NGP,0,0,0.66,0.66,0.66,0.65,0.66,0,0,0
