Date,Short Name,Bid,Offer,Last,Close,High,Low,Open,Chg. Today,Vol. Today,Num. Trades
2019-11-18,NIU,0,0,0,0,0,0,0,0,0,0
2019-11-19,NIU,0,0,0,0,0,0,0,0,0,0
2019-11-20,NIU,0,0,0,0,0,0,0,0,0,0
2019-11-21,NIU,0,0,0,0,0,0,0,0,0,0
2019-11-22,NIU,0,0,0,0,0,0,0,0,0,0
2019-11-25,NIU,0,0,0,0,0,0,0,0,0,0
2019-11-26,NIU,0,0,0,0,0,0,0,0,0,0
2019-11-27,NIU,0,0,0,0,0,0,0,0,0,0
2019-11-28,NIU,0,0,0,0,0,0,0,0,0,0
2019-11-29,NIU,0,0,0,0,0,0,0,0,0,0
2019-12-02,NIU,0,0,0,0,0,0,0,0,0,0
2019-12-03,NIU,0,0,0,0,0,0,0,0,0,0
2019-12-04,NIU,0,0,0,0,0,0,0,0,0,0
2019-12-05,NIU,0,0,0,0,0,0,0,0,0,0
2019-12-06,NIU,0,0,0,0,0,0,0,0,0,0
2019-12-09,NIU,0,0,0,0,0,0,0,0,0,0
2019-12-10,NIU,0,0,0,0,0,0,0,0,0,0
2019-12-11,NIU,0,0,0,0,0,0,0,0,0,0
2019-12-12,NIU,0,0,0,0,0,0,0,0,0,0
2019-12-13,NIU,0,0,0,0,0,0,0,0,0,0
2019-12-16,NIU,0,0,0,0,0,0,0,0,0,0
2019-12-17,NIU,0,0,0,0,0,0,0,0,0,0
2019-12-18,NIU,0,0,0,0,0,0,0,0,0,0
2019-12-19,NIU,0,0,0,0,0,0,0,0,0,0
2019-12-20,NIU,0,0,0,0,0,0,0,0,0,0
2019-12-23,NIU,0,0,0,0,0,0,0,0,0,0
2019-12-24,NIU,0,0,0,0,0,0,0,0,0,0
2019-12-27,NIU,0,0,0,0,0,0,0,0,0,0
2019-12-30,NIU,0,0,0,0,0,0,0,0,0,0
2019-12-31,NIU,0,0,0,0,0,0,0,0,0,0
2020-01-02,NIU,0,0,0,0,0,0,0,0,0,0
2020-01-03,NIU,0,0,0,0,0,0,0,0,0,0
2020-01-06,NIU,0,0,0,0,0,0,0,0,0,0
2020-01-07,NIU,0,0,0,0,0,0,0,0,0,0
2020-01-08,NIU,0,0,0,0,0,0,0,0,0,0
2020-01-09,NIU,0,0,0,0,0,0,0,0,0,0
2020-01-10,NIU,0,0,0,0,0,0,0,0,0,0
2020-01-13,NIU,0,0,0,0,0,0,0,0,0,0
2020-01-14,NIU,0,0,0,0,0,0,0,0,0,0
2020-01-15,NIU,0,0,0,0,0,0,0,0,0,0
2020-01-16,NIU,0,0,0,0,0,0,0,0,0,0
2020-01-17,NIU,0,0,0,0,0,0,0,0,0,0
2020-01-20,NIU,0,0,0,0,0,0,0,0,0,0
2020-01-21,NIU,0,0,0,0,0,0,0,0,0,0
2020-01-22,NIU,0,0,0,0,0,0,0,0,0,0
2020-01-23,NIU,0,0,0,0,0,0,0,0,0,0
2020-01-24,NIU,0,0,0,0,0,0,0,0,0,0
2020-01-27,NIU,0,0,0,0,0,0,0,0,0,0
2020-01-28,NIU,0,0,0,0,0,0,0,0,0,0
2020-01-29,NIU,0,0,0,0,0,0,0,0,0,0
2020-01-30,NIU,0,0,0,0,0,0,0,0,0,0
