Date,Short Name,Bid,Offer,Last,Close,High,Low,Open,Chg. Today,Vol. Today,Num. Trades
2019-11-18,OSH,17.3,20,0,17.3,0,0,0,0,0,0
2019-11-19,OSH,17.3,0,17.95,17.95,17.95,17.95,0,0.65,32346,4
2019-11-20,OSH,17.3,0,0,17.95,0,0,0,0,0,0
2019-11-21,OSH,17.3,0,0,17.95,0,0,0,0,0,0
2019-11-22,OSH,17.3,0,0,17.95,0,0,0,0,0,0
2019-11-25,OSH,17.3,0,0,17.95,0,0,0,0,0,0
2019-11-26,OSH,17.3,0,0,17.95,0,0,0,0,0,0
2019-11-27,OSH,17.3,0,17.31,17.31,17.31,17.31,0,-0.64,1000,3
2019-11-28,OSH,17.3,0,0,17.31,0,0,0,0,0,0
2019-11-29,OSH,17.3,0,0,17.31,0,0,0,0,0,0
2019-12-02,OSH,17.3,0,17.3,17.3,17.3,17.3,0,-0.01,681,2
2019-12-03,OSH,17.3,0,0,17.3,0,0,0,0,0,0
2019-12-04,OSH,17.3,0,0,17.3,0,0,0,0,0,0
2019-12-05,OSH,17.3,0,0,17.3,0,0,0,0,0,0
2019-12-06,OSH,17.3,0,0,17.3,0,0,0,0,0,0
2019-12-09,OSH,17.3,0,0,17.3,0,0,0,0,0,0
2019-12-10,OSH,17.3,20,17.31,17.31,17.31,17.31,0,0.01,6946,6
2019-12-11,OSH,17.3,20,17.31,17.31,17.31,17.31,0,0,1689,3
2019-12-12,OSH,17.3,20,0,17.31,0,0,0,0,0,0
2019-12-13,OSH,17.3,20,0,17.31,0,0,0,0,0,0
2019-12-16,OSH,17.3,20,0,17.31,0,0,0,0,0,0
2019-12-17,OSH,17.3,20,17.3,17.3,17.3,17.3,0,-0.01,321,1
2019-12-18,OSH,17.3,20,0,17.3,0,0,0,0,0,0
2019-12-19,OSH,17.3,20,0,17.3,0,0,0,0,0,0
2019-12-20,OSH,17.3,20,17.31,17.31,17.31,17.31,0,0.01,1712,4
2019-12-23,OSH,17,20,0,17.31,0,0,0,0,0,0
2019-12-24,OSH,17,19,0,17.31,0,0,0,0,0,0
2019-12-27,OSH,17,19,0,17.31,0,0,0,0,0,0
2019-12-30,OSH,17,19,0,17.31,0,0,0,0,0,0
2019-12-31,OSH,17,19,0,17.31,0,0,0,0,0,0
2020-01-02,OSH,17,19,0,17.31,0,0,0,0,0,0
2020-01-03,OSH,17,19,0,17.31,0,0,0,0,0,0
2020-01-06,OSH,17,19,0,17.31,0,0,0,0,0,0
2020-01-07,OSH,17,19,17.3,17.3,17.3,17.3,0,-0.01,411,2
2020-01-08,OSH,17,19,0,17.3,0,0,0,0,0,0
2020-01-09,OSH,17,19,0,17.3,0,0,0,0,0,0
2020-01-10,OSH,17,20,19,19,19,19,0,1.7,4800,2
2020-01-13,OSH,17,20,0,19,0,0,0,0,0,0
2020-01-14,OSH,17,20,0,19,0,0,0,0,0,0
2020-01-15,OSH,17,20,0,19,0,0,0,0,0,0
2020-01-16,OSH,17,20,17.3,17.3,17.3,17.3,0,-1.7,357,1
2020-01-17,OSH,17,20,0,17.3,0,0,0,0,0,0
2020-01-20,OSH,17,20,0,17.3,0,0,0,0,0,0
2020-01-21,OSH,0,20,17,17,17,17,0,-0.3,6013,3
2020-01-22,OSH,0,20,0,17,0,0,0,0,0,0
2020-01-23,OSH,17,20,0,17,0,0,0,0,0,0
2020-01-24,OSH,0,20,17,17,17,17,0,0,5159,2
2020-01-27,OSH,0,20,0,17,0,0,0,0,0,0
2020-01-28,OSH,0,20,0,17,0,0,0,0,0,0
2020-01-29,OSH,17.2,20,0,17,0,0,0,0,0,0
2020-01-30,OSH,17.2,20,0,17,0,0,0,0,0,0
2020-01-31,OSH,17.2,20,17.2,17.2,17.2,17.2,0,0.2,58,1
2020-02-03,OSH,0,20,0,17.2,0,0,0,0,0,0
2020-02-04,OSH,0,20,0,17.2,0,0,0,0,0,0
2020-02-05,OSH,0,20,0,17.2,0,0,0,0,0,0
2020-02-06,OSH,0,16,0,17.2,0,0,0,0,0,0
2020-02-07,OSH,0,16,0,17.2,0,0,0,0,0,0
2020-02-10,OSH,0,16,0,17.2,0,0,0,0,0,0
2020-02-11,OSH,0,16,0,17.2,0,0,0,0,0,0
2020-02-12,OSH,0,16,0,17.2,0,0,0,0,0,0
2020-02-13,OSH,15,16,0,17.2,0,0,0,0,0,0
2020-02-14,OSH,15,16,0,17.2,0,0,0,0,0,0
2020-02-17,OSH,15,16,0,17.2,0,0,0,0,0,0
2020-02-18,OSH,15,16,0,17.2,0,0,0,0,0,0
2020-02-19,OSH,15,20,16,16,16,16,0,-1.2,3224,7
2020-02-20,OSH,15,20,0,16,0,0,0,0,0,0
2020-02-21,OSH,0,15,15,15,15,15,0,-1,466,2
2020-02-24,OSH,0,15,0,15,0,0,0,0,0,0
2020-02-25,OSH,0,14.93,0,15,0,0,0,0,0,0
2020-02-26,OSH,0,14.93,0,15,0,0,0,0,0,0
2020-02-27,OSH,0,14.93,0,15,0,0,0,0,0,0
2020-02-28,OSH,0,14.93,0,15,0,0,0,0,0,0
2020-03-02,OSH,0,14.93,0,15,0,0,0,0,0,0
2020-03-03,OSH,0,14.93,0,15,0,0,0,0,0,0
