Date,Short Name,Bid,Offer,Last,Close,High,Low,Open,Chg. Today,Vol. Today,Num. Trades,,,,,
2019-11-18,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-11-19,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-11-20,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-11-21,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-11-22,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-11-25,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-11-26,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-11-27,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-11-28,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-11-29,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-12-02,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-12-03,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-12-04,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-12-05,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-12-06,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-12-09,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-12-10,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-12-11,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-12-12,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-12-13,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-12-16,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-12-17,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-12-18,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-12-19,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-12-20,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-12-23,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-12-24,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-12-27,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-12-30,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2019-12-31,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-01-02,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-01-03,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-01-06,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-01-07,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-01-08,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-01-09,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-01-10,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-01-13,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-01-14,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-01-15,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-01-16,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-01-17,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-01-20,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-01-21,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-01-22,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-01-23,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-01-24,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-01-27,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-01-28,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-01-29,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-01-30,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-01-31,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-02-03,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-02-04,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-02-05,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-02-06,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-02-07,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-02-10,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-02-11,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-02-12,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-02-13,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-02-14,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-02-17,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-02-18,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-02-19,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-02-20,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-02-21,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-02-24,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-02-25,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-02-26,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-02-27,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-02-28,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-03-02,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-03-03,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-03-04,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-03-05,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-03-06,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-03-09,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-03-10,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-03-11,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-03-12,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-03-13,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-03-16,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-03-17,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-03-18,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-03-19,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-03-20,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-03-23,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-03-24,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-03-25,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-03-26,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-03-27,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-03-30,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-03-31,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-04-01,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-04-02,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-04-03,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-04-06,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-04-07,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-04-08,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-04-09,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-04-14,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-04-15,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-04-16,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-04-17,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-04-20,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-04-21,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-04-22,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-04-23,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-04-24,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-04-27,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-04-28,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-04-29,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-04-30,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-05-01,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-05-04,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-05-05,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-05-06,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-05-07,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-05-08,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-05-11,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-05-12,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-05-13,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-05-14,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-05-15,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-05-18,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-05-19,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-05-20,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-05-21,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
2020-05-22,SST,0,0,0,35.46,0,0,0,0,0,0,,,,,
