Date,Short Name,Bid,Offer,Last,Close,High,Low,Open,Chg. Today,Vol. Today,Num. Trades
13/12/2021,STO,0,0,0,0,0,0,16.32,0,0,0
14/12/2021,STO,0,0,0,0,0,0,16.32,0,0,0
15/12/2021,STO,0,0,0,0,0,0,16.32,0,0,0
16/12/2021,STO,0,0,0,0,0,0,16.32,0,0,0
17/12/2021,STO,0,0,0,0,0,0,16.32,0,0,0
20/12/2021,STO,0,0,0,0,0,0,16.32,0,0,0
21/12/2021,STO,0,0,0,0,0,0,16.32,0,0,0
22/12/2021,STO,0,0,0,0,0,0,16.32,0,0,0
23/12/2021,STO,0,0,0,0,0,0,16.32,0,0,0
24/12/2021,STO,0,0,0,0,0,0,16.32,0,0,0
28/12/2021,STO,0,0,0,0,0,0,16.32,0,0,0
29/12/2021,STO,0,0,0,0,0,0,16.32,0,0,0
30/12/2021,STO,0,0,0,0,0,0,16.32,0,0,0
31/12/2021,STO,0,0,0,0,0,0,16.32,0,0,0
03/01/2022,STO,0,0,0,0,0,0,16.32,0,0,0
04/01/2022,STO,0,0,0,0,0,0,16.32,0,0,0
05/01/2022,STO,0,0,0,0,0,0,16.32,0,0,0
06/01/2022,STO,0,0,0,0,0,0,16.32,0,0,0
07/01/2022,STO,0,0,0,0,0,0,16.32,0,0,0
10/01/2022,STO,0,0,0,0,0,0,16.32,0,0,0
11/01/2022,STO,0,0,0,0,0,0,16.32,0,0,0
12/01/2022,STO,0,0,0,0,0,0,16.32,0,0,0
13/01/2022,STO,0,0,0,0,0,0,16.32,0,0,0
14/01/2022,STO,0,0,0,0,0,0,16.32,0,0,0
17/01/2022,STO,0,0,0,0,0,0,16.32,0,0,0
18/01/2022,STO,0,17,0,0,0,0,16.32,0,0,0
19/01/2022,STO,0,17,0,0,0,0,16.32,0,0,0
20/01/2022,STO,0,17,0,0,0,0,16.32,0,0,0
21/01/2022,STO,0,17,0,0,0,0,16.32,0,0,0
24/01/2022,STO,0,17,0,0,0,0,16.32,0,0,0
25/01/2022,STO,0,17,0,0,0,0,16.32,0,0,0
26/01/2022,STO,16.5,17,0,0,0,0,16.32,0,0,0
27/01/2022,STO,16.5,17,0,0,0,0,16.32,0,0,0
28/01/2022,STO,16.5,17,0,0,0,0,16.32,0,0,0
31/01/2022,STO,16.5,17,0,0,0,0,16.32,0,0,0
01/02/2022,STO,16.5,0,0,0,0,0,16.32,0,0,0
02/02/2022,STO,16.5,0,0,0,0,0,16.32,0,0,0
03/02/2022,STO,16.5,0,0,0,0,0,16.32,0,0,0
04/02/2022,STO,16.5,0,0,0,0,0,16.32,0,0,0
07/02/2022,STO,16.5,0,0,0,0,0,16.32,0,0,0
08/02/2022,STO,16.5,0,0,0,0,0,16.32,0,0,0
09/02/2022,STO,16.5,0,0,0,0,0,16.32,0,0,0
10/02/2022,STO,16.5,0,0,0,0,0,16.32,0,0,0
11/02/2022,STO,16.5,0,0,0,0,0,16.32,0,0,0
14/02/2022,STO,16.5,0,0,0,0,0,16.32,0,0,0
15/02/2022,STO,16.5,0,16.55,16.55,0,0,16.32,0,1255,1
16/02/2022,STO,16.3,0,16.55,16.55,16.55,16.55,16.55,0,0,0
17/02/2022,STO,16.3,0,16.55,16.55,16.55,16.55,16.55,0,0,0
18/02/2022,STO,16.3,0,16.55,16.55,16.55,16.55,16.55,0,0,0
21/02/2022,STO,16.3,0,16.55,16.55,16.55,16.55,16.55,0,0,0
